Shop,Type,price,dateAcquired,notes
Obsborne Road Pet Store,Clumber Spaniel,265.12,06/06/2010,none
Harris' Pets and More,Irish Setter,226.13,31/10/2010,none
Pets on the Tyne,Canary Dog,306.54,26/04/2010,none
Clevedon Pets,Pembroke Welsh Corgi,314.37,22/07/2010,none
The Menagerie,Puli,318.05,01/12/2010,none
Sannox Pets,Japanese Spitz,305.41,06/04/2010,none
Potters Pets,Anatolian Shepherd Dog,327.35,06/04/2010,none
The Briar Patch Pet Store,Bull Terrier,179.9,28/10/2010,none
Sannox Pets,Silky Terrier,256.42,21/11/2010,none
Clevedon Pets,Golden Retriever,137.86,29/04/2010,none
Obsborne Road Pet Store,Brittany,392.85,17/11/2010,none
Galley Pets,Sussex Spaniel,378.11,14/07/2010,none
Preston Pets,Poodle,139.16,17/12/2010,none
Morris Pets and Supplies,Leonberger,155.26,25/06/2010,none
Obsborne Road Pet Store,Weimaraner,383.96,11/06/2010,none
Solly's Pet Store,Flat-Coated Retriever,233.05,23/09/2010,none
Sannox Pets,Nova Scotia Duck Tolling Retriever,228.4,19/07/2010,none
Petsmart,Polish Lowland Sheepdog,255.91,14/10/2010,none
Clevedon Pets,Wire Fox Terrier,327.08,01/01/2010,none
Solly's Pet Store,Gordon Setter,113.65,24/05/2010,none
Meltham Pets,Pug,341.04,22/09/2010,none
Daffyd's Pet Shop,Sussex Spaniel,390.32,04/03/2010,none
Martin Way Mutts,Norfolk Terrier,240.77,01/02/2010,none
Morris Pets and Supplies,Anatolian Shepherd Dog,148.76,05/10/2010,none
Anything Except Badgers,Border Collie,254.96,01/01/2010,none
The Menagerie,Brittany,227.28,04/06/2010,none
Byker Pets Shop,Chesapeake Bay Retriever,274.36,09/08/2010,none
Harris' Pets and More,Ibizan Hound,362.27,02/12/2010,none
Gateshead Pets,Flat-Coated Retriever,307.76,24/02/2010,none
Morris Pets and Supplies,Greyhound,177.16,08/01/2010,ex-racing dog
Morris Pets and Supplies,Beauceron,225.62,12/07/2010,none
Jill's Pet Store,Scottish Deerhound,376.36,01/08/2010,none
Harris' Pets and More,Lakeland Terrier,318.32,13/11/2010,none
Clevedon Pets,German Pinscher,370.02,29/07/2010,none
Morris Pets and Supplies,Giant Schnauzer,296.47,19/03/2010,none
Byker Pets Shop,American Foxhound,219.18,17/02/2010,none
The Menagerie,French Bulldog,180.87,10/12/2010,none
Meltham Pets,Pointer,178.83,27/04/2010,none
Morris Pets and Supplies,Bullmastiff,386.27,22/03/2010,none
Pets on the Tyne,Great Pyrenees,211.92,14/09/2010,none
The Briar Patch Pet Store,Siberian Husky,152.53,02/09/2010,none
Jill's Pet Store,Belgian Sheepdog,160.38,03/09/2010,none
Sannox Pets,Flat-Coated Retriever,258.48,23/02/2010,none
Petsmart,Afghan Hound,307,28/11/2010,none
Morris Pets and Supplies,Chihuahua,111.78,26/12/2010,none
The Briar Patch Pet Store,Welsh Terrier,140.47,22/09/2010,none
Harris' Pets and More,Dalmatian,278.27,08/01/2010,none
The Briar Patch Pet Store,Pharaoh Hound,158.74,29/11/2010,none
Anything Except Badgers,Smooth Fox Terrier,149.32,30/05/2010,none
Jill's Pet Store,Kerry Blue Terrier,322.04,04/11/2010,none
Martin Way Mutts,Hovawart,255.49,08/03/2010,none
Obsborne Road Pet Store,Giant Schnauzer,119.06,28/04/2010,none
Jill's Pet Store,Pembroke Welsh Corgi,226.57,30/12/2010,none
Potters Pets,Bedlington Terrier,145.8,12/10/2010,none
Anything Except Badgers,English Springer Spaniel,185.91,14/07/2010,none
Pets on the Tyne,American Water Spaniel,281.66,19/06/2010,none
Daffyd's Pet Shop,Ibizan Hound,388.77,22/04/2010,none
The Menagerie,Australian Kelpie Sheep Dog,109.45,12/08/2010,none
Martin Way Mutts,Chinese Shar-pei,362.1,13/10/2010,none
Morris Pets and Supplies,Black Russian Terrier,220.72,13/11/2010,none
Gateshead Pets,Bullmastiff,126.14,28/01/2010,none
Clevedon Pets,Border Collie,143.17,09/09/2010,none
Meltham Pets,German Wirehaired Pointer,232.45,19/02/2010,none
Meltham Pets,Canary Dog,230.9,18/05/2010,none
The Briar Patch Pet Store,Louisiana Catahoula Leopard Dog,248.73,10/06/2010,none
Potters Pets,Bandog,158.08,02/09/2010,none
Clevedon Pets,Pekingese,367.72,06/12/2010,none
Gateshead Pets,Dalmatian,184.74,25/08/2010,not purebred
Morris Pets and Supplies,Schipperke,287.48,21/10/2010,none
Byker Pets Shop,Cavalier King Charles Spaniel,164.99,19/03/2010,none
Potters Pets,Hovawart,357.49,22/06/2010,none
Gateshead Pets,Bandog,256.31,03/01/2010,none
Galley Pets,Border Terrier,214.46,21/04/2010,none
Galley Pets,Welsh Terrier,126.65,08/09/2010,none
Martin Way Mutts,English Foxhound,159.76,24/06/2010,none
Anything Except Badgers,Canaan,166.97,21/11/2010,none
The Menagerie,Field Spaniel,270.64,28/06/2010,none
Petsmart,American Staffordshire Terrier,232.72,02/05/2010,none
Clevedon Pets,Newfoundland,137.65,26/02/2010,none
Jill's Pet Store,Border Terrier,166.36,10/02/2010,none
Pets on the Tyne,Siberian Husky,217.57,07/11/2010,none
Preston Pets,Bedlington Terrier,347.23,10/01/2010,none
Solly's Pet Store,Lhasa Apso,191.45,11/06/2010,none
Meltham Pets,Neapolitan Mastiff,276.07,14/12/2010,none
Daffyd's Pet Shop,Shih Tzu,161.73,19/03/2010,none
The Menagerie,Australian Terrier,120.12,07/05/2010,none
Gateshead Pets,English Foxhound,115.29,03/06/2010,none
Anything Except Badgers,Bull Terrier,168.7,11/09/2010,none
Petsmart,Wirehaired Pointing Griffon,119.75,24/08/2010,none
Morris Pets and Supplies,Shikoku,272.02,25/11/2010,none
The Menagerie,Irish Setter,268.1,28/06/2010,none
Preston Pets,Golden Retriever,159.12,01/05/2010,none
Harris' Pets and More,Papillon,128.57,17/11/2010,none
Sannox Pets,Brussels Griffon,266.21,19/12/2010,none
Solly's Pet Store,Airedale Terrier,312.42,17/02/2010,none
Clevedon Pets,Old English Sheepdog,249.25,23/07/2010,none
Potters Pets,Alaskan Malamute,164.94,24/01/2010,none
The Briar Patch Pet Store,Poodle,311.31,23/07/2010,none
Meltham Pets,Curly-Coated Retriever,374.95,03/06/2010,none
Gateshead Pets,Collie,275.02,18/01/2010,none
Potters Pets,Golden Retriever,233.01,06/08/2010,none
Martin Way Mutts,Saint Bernard,150.83,06/05/2010,none
Clevedon Pets,Catahoula Leopard Dog,204.38,09/12/2010,none
Petsmart,Alaskan Husky,239.83,13/03/2010,none
Pets on the Tyne,Gordon Setter,192.12,01/04/2010,none
Anything Except Badgers,Pekingese,184.96,12/10/2010,none
The Menagerie,New Guinea Singing Dog,160.16,13/11/2010,none
The Briar Patch Pet Store,Lakeland Terrier,164.99,06/02/2010,none
Gateshead Pets,German Pinscher,239.77,17/09/2010,none
Jill's Pet Store,Bouvier des Flandres,306.89,01/03/2010,none
Anything Except Badgers,Cairn Terrier,138.93,08/09/2010,none
Preston Pets,Australian Shepherd,333.47,09/05/2010,none
Preston Pets,Australian Terrier,359.39,20/08/2010,none
Galley Pets,English Cocker Spaniel,181.34,13/10/2010,none
Obsborne Road Pet Store,Bichon Frise,199.44,22/10/2010,none
The Menagerie,Plott,240.09,22/09/2010,none
Clevedon Pets,English Setter,307.73,14/08/2010,none
Morris Pets and Supplies,Belgian Sheepdog,119.72,29/11/2010,none
Sannox Pets,Chinese Crested,210.93,07/08/2010,none
Galley Pets,Beauceron,383.23,06/10/2010,none
Pets on the Tyne,Doberman Pinscher,119.08,13/04/2010,none
Obsborne Road Pet Store,English Springer Spaniel,249.46,21/09/2010,none
Anything Except Badgers,Cardigan Welsh Corgi,190.06,17/05/2010,none
Potters Pets,Glen of Imaal Terrier,188.69,31/03/2010,none
Martin Way Mutts,Airedale Terrier,280.75,20/02/2010,none
Martin Way Mutts,Nova Scotia Duck Tolling Retriever,346.22,23/01/2010,none
Obsborne Road Pet Store,Chinese Shar-pei,268.77,12/04/2010,none
The Menagerie,Afghan Hound,157.71,20/09/2010,none
Gateshead Pets,Miniature Pinscher,346.62,05/06/2010,none
Preston Pets,French Bulldog,191.06,13/11/2010,none
The Briar Patch Pet Store,German Pinscher,135.29,09/01/2010,none
Solly's Pet Store,Shetland Sheepdog,286.19,22/12/2010,none
Anything Except Badgers,Nova Scotia Duck Tolling Retriever,188.38,11/10/2010,none
Solly's Pet Store,Italian Greyhound,151.73,22/03/2010,none
Solly's Pet Store,Skye Terrier,256.59,04/05/2010,none
The Menagerie,Shetland Sheepdog,300.44,14/07/2010,none
The Menagerie,Golden Retriever,286.47,21/04/2010,none
Potters Pets,New Guinea Singing Dog,380.36,01/09/2010,none
Meltham Pets,Cavalier King Charles Spaniel,305.78,10/08/2010,none
Preston Pets,Nova Scotia Duck Tolling Retriever,282.99,22/03/2010,none
Daffyd's Pet Shop,Manchester Terrier (Toy),281.71,03/01/2010,none
Gateshead Pets,Basenji,264.87,14/09/2010,none
Solly's Pet Store,Wire Fox Terrier,215.19,23/09/2010,none
Pets on the Tyne,Soft Coated Wheaten Terrier,238.46,10/05/2010,none
Martin Way Mutts,Pointer,314.79,01/07/2010,none
Martin Way Mutts,Rottweiler,211.08,25/09/2010,none
Byker Pets Shop,Labrador Retriever,131.26,17/08/2010,none
Preston Pets,Airedale Terrier,385.31,24/05/2010,none
Preston Pets,Welsh Springer Spaniel,238.87,03/07/2010,none
Anything Except Badgers,Finnish Spitz,245.3,30/12/2010,none
Harris' Pets and More,Black and Tan Coonhound,279.08,10/11/2010,none
Morris Pets and Supplies,Polish Lowland Sheepdog,283.07,24/11/2010,none
Jill's Pet Store,Tibetan Spaniel,196,19/11/2010,none
Solly's Pet Store,New Guinea Singing Dog,323.76,11/08/2010,none
Pets on the Tyne,Pointer,317.39,16/01/2010,none
Daffyd's Pet Shop,Doberman Pinscher,311.69,17/08/2010,none
Galley Pets,Italian Greyhound,179.92,18/09/2010,none
Harris' Pets and More,English Setter,245.85,31/07/2010,none
Gateshead Pets,Finnish Spitz,315.81,25/08/2010,none
Gateshead Pets,German Shepherd Dog,191.9,01/02/2010,none
Sannox Pets,Poodle,239.11,22/05/2010,none
The Briar Patch Pet Store,Bloodhound,130.34,08/06/2010,none
Byker Pets Shop,Pharaoh Hound,396.75,28/05/2010,none
Obsborne Road Pet Store,Affenpinscher,244.56,09/07/2010,none
Galley Pets,Miniature Bull Terrier,205.04,20/07/2010,none
Petsmart,Border Terrier,140.93,01/04/2010,none
Anything Except Badgers,Toy Fox Terrier,230.01,17/07/2010,none
Morris Pets and Supplies,Beagle,263.68,25/02/2010,none
Potters Pets,Dachshund,393.52,09/05/2010,none
The Menagerie,Petit Basset Griffon Vendeen,136.95,26/03/2010,none
Byker Pets Shop,Shiba Inu,179.84,18/05/2010,none
Clevedon Pets,Vizsla,171.95,06/04/2010,none
Gateshead Pets,English Setter,328.8,10/03/2010,none
The Briar Patch Pet Store,Bullmastiff,364.21,12/09/2010,none
Harris' Pets and More,Jack Russell Terrier,192.74,25/09/2010,none
Gateshead Pets,Shiba Inu,286.79,19/07/2010,none
Preston Pets,Border Collie,121.03,30/01/2010,none
Solly's Pet Store,Irish Setter,277.17,19/06/2010,none
Anything Except Badgers,Shetland Sheepdog,288.66,23/08/2010,none
Petsmart,Pointer,146.1,14/01/2010,none
Martin Way Mutts,Maltese,217.82,22/06/2010,none
Byker Pets Shop,Norwegian Elkhound,288.14,20/04/2010,none
Clevedon Pets,Manchester Terrier (Toy),378.19,02/05/2010,none
Morris Pets and Supplies,Flat-Coated Retriever,373.69,22/05/2010,none
Preston Pets,Greater Swiss Mountain Dog,102.33,20/05/2010,none
Morris Pets and Supplies,Dandie Dinmont Terrier,226.33,07/01/2010,none
Sannox Pets,Otterhound,273.36,21/09/2010,none
Sannox Pets,Hovawart,310.79,20/10/2010,none
Petsmart,Silky Terrier,399.69,09/04/2010,none
Anything Except Badgers,Old English Sheepdog,220.13,07/04/2010,none
Harris' Pets and More,Saint Bernard,248.78,21/03/2010,none
Petsmart,Catahoula Leopard Dog,298.22,29/10/2010,none
Daffyd's Pet Shop,Louisiana Catahoula Leopard Dog,123.51,28/02/2010,none
Daffyd's Pet Shop,American Eskimo Dog,353.84,04/05/2010,none
Sannox Pets,Cavalier King Charles Spaniel,166.24,14/05/2010,none
Meltham Pets,English Foxhound,383.06,18/09/2010,none
Sannox Pets,Tibetan Mastiff,394.91,03/12/2010,none
Morris Pets and Supplies,Keeshond,299.34,11/07/2010,none
Clevedon Pets,Tibetan Spaniel,247.58,19/02/2010,none
Pets on the Tyne,Bloodhound,164.74,17/06/2010,none
Jill's Pet Store,American Eskimo Dog,327.79,08/09/2010,none
Daffyd's Pet Shop,Petit Basset Griffon Vendeen,154.8,05/11/2010,none
Sannox Pets,Siberian Husky,240.68,22/01/2010,none
Martin Way Mutts,Welsh Terrier,233.3,11/04/2010,none
Clevedon Pets,American Staffordshire Terrier,142.03,26/04/2010,none
Sannox Pets,Miniature Bull Terrier,149.99,18/10/2010,none
Solly's Pet Store,Beauceron,365.85,26/03/2010,none
Martin Way Mutts,Kuvasz,362.43,04/06/2010,none
Anything Except Badgers,Vizsla,355.47,12/10/2010,none
Jill's Pet Store,Louisiana Catahoula Leopard Dog,234.92,07/05/2010,none
The Briar Patch Pet Store,Briard,211.31,27/11/2010,none
Petsmart,Chihuahua,114.59,28/01/2010,none
The Menagerie,Shikoku,316.91,07/01/2010,none
The Briar Patch Pet Store,Black and Tan Coonhound,179.21,17/12/2010,none
Anything Except Badgers,Assorted Swordtail,17.86,23/10/2010,none
Aquatic Acrobatics,Blue Johanni Cichlid,8.59,26/04/2010,none
Gateshead Pets,Golden White Cloud,24.74,26/05/2010,none
Potters Pets,Rio-Negro Pleco,14.13,15/07/2010,none
Meltham Pets,Sparkling Gourami,24.31,26/02/2010,none
Aquatic Acrobatics,Cherry Barb,16.01,04/07/2010,none
Gateshead Pets,Crown Tail Betta,7.41,14/12/2010,none
Solly's Pet Store,Pearl Gourami,20.86,07/04/2010,none
Daffyd's Pet Shop,Cherry Barb,13.99,14/04/2010,none
Meltham Pets,Peppered Cory Cat,8.14,10/03/2010,none
Aquatic Acrobatics,Pearl Gourami,10.55,24/07/2010,none
Meltham Pets,Assorted Swordtail,9.76,20/08/2010,none
Pets on the Tyne,Tiger Barb,20.71,06/10/2010,none
Parkside Aquarium,Blue Paradise,20.31,25/05/2010,none
Pets on the Tyne,Electric Yellow Cichlid,11.75,09/02/2010,none
Harris' Pets and More,Assorted Platy,6.59,02/12/2010,none
Gateshead Pets,Albino Aeneus Cory Cat,7.12,20/08/2010,none
Anything Except Badgers,Black Moor Goldfish,7.96,30/10/2010,none
The Menagerie,Assorted Platy,19.14,31/05/2010,none
The Menagerie,Red Cap Oranda Goldfish,15.51,18/08/2010,none
Byker Pets Shop,Tiger Barb,23.96,16/04/2010,none
Daffyd's Pet Shop,Sparkling Gourami,9.07,22/08/2010,none
Daffyd's Pet Shop,Assorted Veil Angel,21.28,29/12/2010,none
Paddington Aquatics,Starry Night Pleco,20.33,04/11/2010,none
Morris Pets and Supplies,Otocinclus Catfish,5.24,02/07/2010,none
Byker Pets Shop,Rio-Negro Pleco,11.71,15/09/2010,none
Doe Bank Fish and Aquarium Supplies,Turquoise Danio,15.02,08/05/2010,none
Galley Pets,Tiger Barb,20.87,25/02/2010,none
The Briar Patch Pet Store,Tiger Pleco,19.75,08/12/2010,none
Gateshead Pets,Pearl Gourami,19.21,10/04/2010,none
Sannox Pets,Golden White Cloud,14.93,07/02/2010,none
Galley Pets,Green Tiger Barb,7.77,25/08/2010,none
Meadow Aquatics,Assorted Apistogramma,10.64,18/04/2010,none
Sannox Pets,Turquoise Danio,8.11,29/01/2010,none
Solly's Pet Store,Otocinclus Catfish,5.09,31/07/2010,none
Obsborne Road Pet Store,Assorted Mickey Mouse Platys,24.55,24/12/2010,marketing deal with free toy
Paddington Aquatics,Tiger Barb,10.71,31/01/2010,none
Anything Except Badgers,Crown Tail Betta,19.44,18/01/2010,none
Potters Pets,Green Cobra Guppy,14.31,07/05/2010,none
Daffyd's Pet Shop,Starry Night Pleco,15.63,23/11/2010,none
Aquatic Acrobatics,Assorted Apistogramma,15.17,07/05/2010,none
Clevedon Pets,Assorted Swordtail,14.72,29/07/2010,none
Jill's Pet Store,Green Cobra Guppy,19.41,03/11/2010,none
Petsmart,Turquoise Danio,14.77,08/03/2010,none
Jill's Pet Store,Starry Night Pleco,12.16,15/12/2010,none
Morris Pets and Supplies,Long Fin White Cloud,13,12/10/2010,none
Harris' Pets and More,Boesemani Rainbow,7.5,01/11/2010,none
The Briar Patch Pet Store,Cherry Barb,11.54,29/10/2010,none
The Menagerie,Siamese Fighting Fish,16.92,16/08/2010,not actually very aggressive!
The Menagerie,Tiger Barb,16.91,30/08/2010,none
Anything Except Badgers,Golden White Cloud,18.22,01/06/2010,none
Pets on the Tyne,Albino Peacock Cichlid,10.52,20/12/2010,none
Galley Pets,Blue Johanni Cichlid,12.24,28/07/2010,none
Solly's Pet Store,Electric Yellow Cichlid,12.56,04/06/2010,none
Solly's Pet Store,Lemon Cobra Guppy,12.52,25/08/2010,none
Parkside Aquarium,Assorted Swordtail,11.65,30/03/2010,none
Meadow Aquatics,Long Fin White Cloud,8.12,04/06/2010,none
The Briar Patch Pet Store,Green Cobra Guppy,18.84,22/07/2010,none
Meadow Aquatics,Tiger Pleco,11.21,13/09/2010,none
Jill's Pet Store,Lemon Cobra Guppy,12.08,02/04/2010,none
Gateshead Pets,Black Moor Goldfish,5.8,12/12/2010,none
Aquatic Acrobatics,Green Tiger Barb,17.36,05/09/2010,none
Jill's Pet Store,Boesemani Rainbow,7.12,19/02/2010,none
Preston Pets,Crown Tail Betta,16.99,01/03/2010,none
Harris' Pets and More,Turquoise Danio,6.29,14/03/2010,other colours available
Harris' Pets and More,Pearl Gourami,14.26,06/11/2010,none
Parkside Aquarium,Golden White Cloud,19.92,21/05/2010,none
Morris Pets and Supplies,Kenyi Cichlid,22.61,06/10/2010,none
The Menagerie,Turquoise Danio,17.77,08/03/2010,none
Anything Except Badgers,Assorted Mickey Mouse Platys,17.31,05/05/2010,none
Pets on the Tyne,Albino Aeneus Cory Cat,19.54,27/12/2010,none
Aquatic Acrobatics,Red Cap Oranda Goldfish,23.28,04/11/2010,none
Obsborne Road Pet Store,Cherry Barb,22.6,23/05/2010,none
Petsmart,Electric Blue Cichlid,23.22,31/07/2010,none
Petsmart,Emerald Green Cory Cat,24.26,24/01/2010,none
Preston Pets,Kenyi Cichlid,11.98,13/08/2010,none
The Briar Patch Pet Store,Starry Night Pleco,16.25,23/09/2010,none
Gateshead Pets,Otocinclus Catfish,10.92,20/11/2010,none
Petsmart,Peppered Cory Cat,7.79,07/10/2010,none
Doe Bank Fish and Aquarium Supplies,Albino Peacock Cichlid,14.55,20/04/2010,none
Morris Pets and Supplies,Green Cobra Guppy,20.12,03/09/2010,none
The Briar Patch Pet Store,Long Fin White Cloud,9.33,30/05/2010,none
Clevedon Pets,Sparkling Gourami,21.37,21/10/2010,none
Preston Pets,Emerald Green Cory Cat,7.26,11/04/2010,none
The Briar Patch Pet Store,Blue Paradise,11.15,07/12/2010,none
Sannox Pets,Electric Yellow Cichlid,9.07,14/04/2010,none
Pets on the Tyne,Otocinclus Catfish,8.29,19/03/2010,none
Byker Pets Shop,Green Cobra Guppy,21.88,30/04/2010,none
Pets on the Tyne,Turquoise Danio,19.08,03/02/2010,none
Morris Pets and Supplies,Pearl Gourami,19.8,17/04/2010,none
Clevedon Pets,Cherry Barb,11.39,30/05/2010,none
Anything Except Badgers,Green Tiger Barb,13.89,10/01/2010,none
Jill's Pet Store,Rio-Negro Pleco,8.51,06/03/2010,none
Parkside Aquarium,Tiger Pleco,16.74,05/06/2010,none
The Briar Patch Pet Store,Kenyi Cichlid,14.07,01/06/2010,none
Byker Pets Shop,Green Tiger Barb,22.69,16/08/2010,none
Byker Pets Shop,Lemon Cobra Guppy,11.14,10/09/2010,none
Potters Pets,Assorted Mickey Mouse Platys,9.21,20/12/2010,none
Pets on the Tyne,Tiger Pleco,6.31,10/06/2010,none
Parkside Aquarium,Green Tiger Barb,5.61,26/02/2010,none
Gateshead Pets,Rio-Negro Pleco,21.52,22/11/2010,none
Parkside Aquarium,Kenyi Cichlid,19.56,19/11/2010,none
Harris' Pets and More,Green Cobra Guppy,5.97,14/11/2010,none
Anything Except Badgers,Turquoise Danio,12.75,06/06/2010,none
Morris Pets and Supplies,Black Moor Goldfish,16.67,15/10/2010,none
The Menagerie,Rio-Negro Pleco,23.53,10/02/2010,none
Jill's Pet Store,Harlequin Rasbora,12.4,14/12/2010,none
Paddington Aquatics,Boesemani Rainbow,20.28,09/07/2010,none
Aquatic Acrobatics,Green Cobra Guppy,13.14,04/10/2010,none
Obsborne Road Pet Store,Otocinclus Catfish,10.04,20/02/2010,none
Daffyd's Pet Shop,Pearl Gourami,22.38,30/10/2010,none
Aquatic Acrobatics,Pink Convict Cichlid,18.37,13/06/2010,none
The Menagerie,Sparkling Gourami,21.02,08/12/2010,none
The Briar Patch Pet Store,Albino Peacock Cichlid,11.33,02/12/2010,none
Meadow Aquatics,Blue Johanni Cichlid,10.58,20/05/2010,none
Daffyd's Pet Shop,Kenyi Cichlid,5.67,18/07/2010,none
The Briar Patch Pet Store,Assorted Mickey Mouse Platys,19.11,22/10/2010,none
Paddington Aquatics,Crown Tail Betta,7.77,20/11/2010,none
Galley Pets,Emerald Green Cory Cat,9.8,18/10/2010,none
Obsborne Road Pet Store,Blue Johanni Cichlid,19.43,03/07/2010,none
Preston Pets,Rio-Negro Pleco,12.06,18/09/2010,none
Morris Pets and Supplies,Emerald Green Cory Cat,24.07,18/10/2010,none
Obsborne Road Pet Store,Siamese Fighting Fish,13.26,09/06/2010,none
Sannox Pets,Albino Aeneus Cory Cat,11.37,13/06/2010,none
Paddington Aquatics,Green Tiger Barb,11.39,11/03/2010,none
Parkside Aquarium,Sparkling Gourami,22.09,30/01/2010,none
Byker Pets Shop,Albino Aeneus Cory Cat,6.01,09/03/2010,none
Pets on the Tyne,Assorted Apistogramma,6.66,08/11/2010,none
Pets on the Tyne,Golden White Cloud,8.42,28/09/2010,none
Harris' Pets and More,Blue Johanni Cichlid,24.15,04/02/2010,none
Galley Pets,Blue Paradise,15.8,16/08/2010,none
Potters Pets,Tiger Pleco,14.29,01/01/2010,none
The Briar Patch Pet Store,Boesemani Rainbow,6.19,12/07/2010,none
Morris Pets and Supplies,Peppered Cory Cat,10.69,27/09/2010,none
Petsmart,Assorted Veil Angel,11.61,02/07/2010,none
Anything Except Badgers,Green Cobra Guppy,15.36,24/12/2010,none
Parkside Aquarium,Rio-Negro Pleco,20.51,14/12/2010,none
Morris Pets and Supplies,Assorted Veil Angel,22.62,24/01/2010,none
Paddington Aquatics,Cherry Barb,13.43,17/03/2010,none
Petsmart,Boesemani Rainbow,20.28,17/11/2010,none
Harris' Pets and More,Sparkling Gourami,15.96,01/12/2010,none
Paddington Aquatics,Emerald Green Cory Cat,21.59,09/03/2010,none
Sannox Pets,Long Fin White Cloud,17.89,14/12/2010,none
Solly's Pet Store,Starry Night Pleco,13.83,21/08/2010,none
Morris Pets and Supplies,Red Cap Oranda Goldfish,9.55,20/08/2010,none
The Menagerie,Blue Johanni Cichlid,22.27,13/09/2010,none
Solly's Pet Store,Rio-Negro Pleco,19.58,20/08/2010,none
Paddington Aquatics,Turquoise Danio,12.57,26/03/2010,none
Anything Except Badgers,Assorted Platy,10.3,10/02/2010,none
Aquatic Acrobatics,Black Moor Goldfish,13.35,14/08/2010,none
Preston Pets,Electric Blue Cichlid,23.11,02/11/2010,none
Morris Pets and Supplies,Albino Aeneus Cory Cat,16.67,28/04/2010,none
Sannox Pets,Blue Paradise,24.41,20/09/2010,none
Preston Pets,Blue Johanni Cichlid,17.24,20/09/2010,none
Anything Except Badgers,Blue Paradise,18.73,16/09/2010,none
Sannox Pets,Assorted Apistogramma,21.88,05/01/2010,none
Sannox Pets,Emerald Green Cory Cat,17.29,27/11/2010,none
Morris Pets and Supplies,Sparkling Gourami,8.5,10/06/2010,none
Gateshead Pets,Harlequin Rasbora,15.49,13/04/2010,none
